Diapositiva original,Diapositivas HTML,Tratamiento
1,1,Conservada y adaptada al diseño Deloitte
2,2,Conservada y adaptada al diseño Deloitte
3,—,Omitida: QR de acceso
4,3,Conservada y adaptada al diseño Deloitte
5,4,Conservada y adaptada al diseño Deloitte
6,5,Conservada y adaptada al diseño Deloitte
7,6,Conservada y adaptada al diseño Deloitte
8,7,Conservada y adaptada al diseño Deloitte
9,—,Retirada en la versión del 14/09/2026
10,8,Conservada y adaptada al diseño Deloitte
11,"9, 15",Conservada y adaptada al diseño Deloitte
12,10,Actualizada: ECI sustituye una comparación de CI sin equivalencia válida
13,11,Actualizada: noticia de Navier–Stokes sustituye olimpiadas de 2025
14,"12, 13","Desdoblada: GPQA y Mock AIME, con todos los resultados válidos del CSV"
15,14,Conservada y adaptada al diseño Deloitte
16,—,Retirada en la versión del 14/09/2026
17,—,Retirada en la versión del 14/09/2026
18,—,Retirada en la versión del 14/09/2026
19,"16, 17",Desdoblada para conservar todo el contenido con mayor legibilidad
20,"18, 19",Desdoblada para conservar todo el contenido con mayor legibilidad
21,—,Retirada en la versión del 14/09/2026
22,—,Retirada en la versión del 14/09/2026
23,—,Retirada en la versión del 14/09/2026
24,—,Omitida: promoción con QR
25,20,Cierre sustituido por «Manos a la obra» con vídeo de fondo
26,—,Omitida: contacto y marca del proveedor
